points,value
1846,56282.1
1847,56282.1
1848,56282.2
1849,56282.2
1850,56282.2
1851,56282.2
1852,56282.2
1853,56282.2
1854,56282.3
1855,56282.3
1856,56282.3
1857,56282.3
1858,56282.3
1859,56282.3
1860,56282.4
1861,56282.4
1862,56282.4
1863,56282.4
1864,56282.4
1865,56282.4
1866,56282.5
1867,56282.5
1868,56282.5
1869,56282.5
1870,56282.5
1871,56282.5
1872,56282.6
1873,56282.6
1874,56282.6
1875,56282.6
1876,56282.6
1877,56282.6
1878,56282.7
1879,56282.7
1880,56282.7
1881,56282.7
1882,56282.7
1883,56282.7
1884,56282.8
1885,56282.8
1886,56282.8
1887,56282.8
1888,56282.8
1889,56282.9
1890,56282.9
1891,56282.9
1892,56282.9
1893,56282.9
1894,56282.9
1895,56283
1896,56283
1897,56283
1898,56283
1899,56283
1900,56283
1901,56283.1
1902,56283.1
1903,56283.1
1904,56283.1
1905,56283.1
1906,56283.1
1907,56283.2
1908,56283.2
1909,56283.2
1910,56283.2
1911,56283.2
1912,56283.2
1913,56283.3
1914,56283.3
1915,56283.3
1916,56283.3
1917,56283.3
